Movie,Gross,Budget
Ek Villain ,95.64,36.00
Humshakals ,55.65,77.00
Holiday ,110.01,90.00
Fugly ,11.16,16.00
City Lights ,5.19,9.50
Kuku Mathur Ki Jhand Ho Gayi,2.23,4.50
Heropanti ,49.07,26.00
2 States ,101.61,36.00
Main Tera Hero ,53.04,39.00
Ragini MMS 2 ,46.59,18.00
Queen ,61.47,24.00
Gunday ,72.26,52.00
Jai Ho ,107.71,120.00
Kochadaiiyaan (All Languages India) ,23.07,125.00
The Xpose ,11.69,16.00
Hawa Hawaai ,10.42,11.00
Mastram ,3.36,5.50
Koyelaanchal ,2.17,8.00
Yeh Hain Bakrapur ,0.97,4.50
Manjunath,1.02,5.00
Purani Jeans ,1.28,11.00
Kya Dilli Kya Lahore,0.63,5.50
Revolver Rani ,9.44,26.00
Kaanchi,3.93,29.00
Samrat & Co ,2.10,16.00
Bhootnath Returns ,34.03,34.00
Youngistaan ,6.76,27.00
Dishkiyaoon ,5.79,9.00
O Teri ,3.72,16.00
Gang Of Ghosts ,1.55,16.00
Bewakoofiyaan ,12.06,22.00
Gulaab Gang ,13.32,27.00
Total Siyappa ,5.91,18.00
Shaadi ke Side Effects ,37.95,43.00
Highway ,27.71,32.00
Darr @ Mall ,5.70,15.00
Hasee Toh Phasee ,36.52,24.00
Heartless ,1.16,11.00
One By Two ,2.41,12.00
Yaariyan ,31.04,19.00
Dedh Ishqiya ,25.87,31.00
Sholay 3D ,11.25,20.00
Joe B Carvalho ,3.83,10.00
Dhoom 3 (Hindi)  ,262.58,150.00
Chennai Express,208.44,130.00
Krrish 3 (Hindi) ,181.11,115.00
Yeh Jawani Hain Deewani,185.83,50.00
R Rajkumar  ,66.10,65.00
Ram Leela  ,112.96,83.00
Boss ,52.38,72.00
Besharam ,55.79,78.00
OUATIMD,60.93,80.00
Bhag Milkha Bhag,109.18,52.00
Race 2 ,96.34,65.00
Aashiqui 2,78.42,10.50
